time,AM,SINE
7.8e-05,3.9999,-0.924733
7.85e-05,3.99779,-0.924141
7.9e-05,3.99293,-0.922553
7.95e-05,3.98533,-0.919958
8e-05,3.975,-0.91635
8.05e-05,3.96195,-0.911722
8.1e-05,3.94618,-0.906067
8.15e-05,3.92772,-0.899383
8.2e-05,3.90657,-0.891666
8.25e-05,3.88277,-0.882914
8.3e-05,3.85632,-0.873126
8.35e-05,3.82726,-0.862303
8.4e-05,3.79561,-0.850446
8.45e-05,3.7614,-0.837559
8.5e-05,3.72467,-0.823646
8.55e-05,3.68543,-0.808713
8.6e-05,3.64374,-0.792765
8.65e-05,3.59963,-0.775811
8.7e-05,3.55314,-0.757861
8.75e-05,3.50431,-0.738925
8.8e-05,3.45319,-0.719014
8.85e-05,3.39982,-0.698141
8.9e-05,3.34426,-0.676321
8.95e-05,3.28655,-0.653569
9e-05,3.22674,-0.629902
9.05e-05,3.1649,-0.605338
9.1e-05,3.10107,-0.579895
9.15e-05,3.03532,-0.553593
9.2e-05,2.96771,-0.526455
9.25e-05,2.89829,-0.498502
9.3e-05,2.82714,-0.469759
9.35e-05,2.75432,-0.440249
9.4e-05,2.67988,-0.409999
9.45e-05,2.60391,-0.379036
9.5e-05,2.52648,-0.347387
9.55e-05,2.44764,-0.315081
9.6e-05,2.36748,-0.282148
9.65e-05,2.28606,-0.248619
9.7e-05,2.20347,-0.214526
9.75e-05,2.11978,-0.179901
9.8e-05,2.03506,-0.144778
9.85e-05,1.9494,-0.109191
9.9e-05,1.86286,-0.0731749
9.95e-05,1.77553,-0.0367657
0.0001,1.6875,-1.69938e-14
0.0001005,1.59883,0.037085
0.000101,1.50962,0.0744516
0.0001015,1.41994,0.112061
0.000102,1.32988,0.149875
0.0001025,1.23951,0.187853
0.000103,1.14893,0.225955
0.0001035,1.0582,0.264142
0.000104,0.967429,0.302372
0.0001045,0.876683,0.340604
0.000105,0.786051,0.378797
0.0001055,0.695614,0.416909
0.000106,0.605456,0.454899
0.0001065,0.51566,0.492723
0.000107,0.426307,0.53034
0.0001075,0.337479,0.567708
0.000108,0.249257,0.604785
0.0001085,0.161723,0.641528
0.000109,0.0749571,0.677896
0.0001095,-0.0109624,0.713846
0.00011,-0.0959562,0.749337
0.0001105,-0.179947,0.784327
0.000111,-0.262857,0.818774
0.0001115,-0.34461,0.852639
0.000112,-0.425133,0.885881
0.0001125,-0.504351,0.918458
0.000113,-0.582192,0.950333
0.0001135,-0.658583,0.981465
0.000114,-0.733457,1.01182
0.0001145,-0.806743,1.04135
0.000115,-0.878375,1.07003
0.0001155,-0.948287,1.09781
0.000116,-1.01642,1.12466
0.0001165,-1.0827,1.15056
0.000117,-1.14707,1.17545
0.0001175,-1.20948,1.19932
0.000118,-1.26987,1.22212
0.0001185,-1.32818,1.24383
0.000119,-1.38435,1.26441
